time,value1,value2,value3
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0,0
151600,0,0.0333,0
151600,0,0.0666,0
151601,0,0.1,0
151601,0,0.1333,0
151601,0,0.1666,0
151601,0,0.2,0
151601,0,0.2333,0
151601,0,0.2666,0
151601,0,0.3,0
151601,0,0.3333,0
151601,0,0.3666,0
151601,0,0.4,0
151601,0,0.4333,0
151601,0,0.4666,0
151601,0,0.5,0
151601,0,0.5333,0
151601,0,0.5666,0
151601,0,0.6,0
151601,0,0.6333,0
151601,0,0.6666,0
151601,0,0.7,0
151601,0,0.7333,0
151601,0,0.7666,0
151601,0,0.8,0
151601,0,0.8333,0
151601,0,0.8666,0
151601,0,0.9,0
151601,0,0.9333,0
151601,0,0.9666,0
151601,0,1,0
151601,0,1,0
151601,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151602,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151603,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151604,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151605,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151606,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151607,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151608,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151609,0,1,0
151610,0,1,0
151610,0,1,0
151610,0,1,0
151610,0,1,0
151610,0,1,0
151610,0,1,0
151610,0,1,0
151610,0,1,0
151610,0,0.9666,0
151610,0,0.9333,0
151610,0,0.9,0
151610,0,0.8666,0
151610,0,0.8333,0
151610,0,0.8,0
151610,0,0.7666,0
151610,0,0.7333,0
151610,0,0.7,0
151610,0,0.6666,0
151610,0,0.6333,0
151610,0,0.6,0
151610,0,0.5666,0
151610,0,0.5333,0
151610,0,0.5,0
151610,0,0.4666,0
151610,0,0.4333,0
151610,0,0.4,0
151610,0,0.3666,0
151610,0,0.3333,0
151610,0,0.3,0
151610,0,0.2666,0
151611,0,0.2333,0
151611,0,0.2,0
151611,0,0.1666,0
151611,0,0.1333,0
151611,0,0.1,0
151611,0,0.0666,0
151611,0,0.0333,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
151611,0,0,0
